DeviceTag: Xsens DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-02-05 09:33:27.023,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
140627,0.8758,-0.1381,0.1024,-0.4511,-2.2938,-2.3329,0.3263,0
140793,0.8767,-0.1346,0.1052,-0.4497,0.0687,0.0758,-0.8859,0
140960,0.8762,-0.1368,0.1104,-0.4486,0.4602,0.0819,-0.2899,0
141127,0.8745,-0.1447,0.1170,-0.4480,0.4578,0.3836,0.1771,0
141293,0.8703,-0.1606,0.1255,-0.4484,0.4658,0.4165,1.2715,0
141460,0.8645,-0.1816,0.1348,-0.4489,-0.0474,0.4406,0.9253,0
141627,0.8594,-0.2001,0.1432,-0.4482,0.1886,0.3103,-0.5575,0
141793,0.8558,-0.2148,0.1502,-0.4460,1.1204,1.6645,-0.8204,0
141960,0.8538,-0.2282,0.1556,-0.4412,1.0856,2.0630,-0.3438,0
142127,0.8480,-0.2486,0.1592,-0.4402,0.5301,2.3711,1.5715,0
142293,0.8359,-0.2781,0.1631,-0.4442,-0.8679,-1.6908,-0.0150,0
142460,0.8244,-0.3043,0.1666,-0.4473,-1.4502,-2.3537,-0.1959,0
142627,0.8106,-0.3305,0.1718,-0.4520,-1.3139,-1.7070,0.3982,0
142793,0.7973,-0.3559,0.1771,-0.4542,-0.2361,0.0957,0.6641,0
142960,0.7817,-0.3847,0.1822,-0.4558,0.0932,0.9391,0.8867,0
143127,0.7621,-0.4179,0.1840,-0.4591,0.5053,1.2207,1.0460,0
143293,0.7357,-0.4576,0.1848,-0.4639,-0.5424,-1.2762,0.4511,0
143460,0.7178,-0.4814,0.1867,-0.4670,-2.1523,-4.7036,-0.2674,0
143627,0.7077,-0.4938,0.1893,-0.4685,-0.2655,-0.5410,-0.1018,0
143793,0.7014,-0.5011,0.1920,-0.4691,-0.1412,-0.4452,-0.1156,0
143960,0.7023,-0.5005,0.1937,-0.4677,0.1480,-0.3136,-0.2694,0
144127,0.7011,-0.5017,0.1948,-0.4678,0.8251,0.9953,-0.7124,0
144293,0.6949,-0.5075,0.1949,-0.4707,-0.1848,-0.6332,-0.0420,0
144460,0.6885,-0.5134,0.1952,-0.4737,-0.3345,-0.3070,0.5073,0
144627,0.6834,-0.5188,0.1967,-0.4744,-0.0206,0.1522,0.2041,0
144794,0.6829,-0.5205,0.1985,-0.4725,0.1423,0.2405,-0.0654,0
144960,0.6844,-0.5214,0.2005,-0.4686,0.4147,0.6156,-0.0879,0
145127,0.6845,-0.5246,0.2025,-0.4640,0.3324,0.0525,-0.3198,0
145294,0.6819,-0.5307,0.2051,-0.4597,-0.2609,-0.5772,-0.1641,0
145460,0.6822,-0.5316,0.2064,-0.4577,-0.9612,-1.9776,-0.2188,0
145627,0.6818,-0.5321,0.2058,-0.4578,0.3389,0.6962,-0.0856,0
145794,0.6817,-0.5323,0.2040,-0.4586,-0.2318,-0.6715,-1.1999,0
145960,0.6815,-0.5322,0.2017,-0.4600,-0.2234,0.1890,0.0208,0
146127,0.6814,-0.5317,0.1989,-0.4620,-0.3888,-0.0246,0.1684,0
146294,0.6835,-0.5281,0.1957,-0.4643,-0.6185,-0.4259,0.5981,0
146460,0.6896,-0.5219,0.1931,-0.4634,-0.1058,0.1130,0.4396,0
146627,0.6953,-0.5170,0.1908,-0.4613,0.0391,-0.1550,-0.4439,0
146794,0.6986,-0.5135,0.1867,-0.4621,-0.3458,-0.1856,0.2107,0
146960,0.7009,-0.5096,0.1797,-0.4655,-0.7390,-0.6847,1.4988,0
147127,0.7088,-0.4980,0.1706,-0.4695,-1.2118,-2.1116,-0.8472,0
147294,0.7241,-0.4757,0.1607,-0.4728,-0.4778,-1.2294,-0.0375,0
147460,0.7421,-0.4496,0.1490,-0.4744,0.0654,-0.0877,-0.7482,0
147627,0.7561,-0.4279,0.1381,-0.4754,0.3470,0.8545,-0.0551,0
